,pred,true_label,fold
0,alpha,alpha,1
1,alpha,alpha,1
2,not applicable,unclassified endocrine,1
3,ductal,ductal,1
4,not applicable,not applicable,1
5,not applicable,not applicable,1
6,delta,delta,1
7,beta,beta,1
8,not applicable,not applicable,1
9,alpha,alpha,1
10,PSC,PSC,1
11,co-expression,co-expression,1
12,ductal,ductal,1
13,beta,beta,1
14,delta,delta,1
15,beta,beta,1
16,gamma,gamma,1
17,beta,beta,1
18,not applicable,not applicable,1
19,not applicable,not applicable,1
20,delta,delta,1
21,beta,beta,1
22,beta,beta,1
23,not applicable,not applicable,1
24,alpha,alpha,1
25,beta,beta,1
26,not applicable,not applicable,1
27,not applicable,not applicable,1
28,delta,delta,1
29,not applicable,not applicable,1
30,alpha,alpha,1
31,not applicable,not applicable,1
32,not applicable,not applicable,1
33,acinar,acinar,1
34,beta,co-expression,1
35,acinar,acinar,1
36,acinar,acinar,1
37,gamma,gamma,1
38,alpha,alpha,1
39,alpha,alpha,1
40,beta,beta,1
41,not applicable,not applicable,1
42,not applicable,not applicable,1
43,beta,beta,1
44,not applicable,not applicable,1
45,not applicable,not applicable,1
46,beta,beta,1
47,alpha,alpha,1
48,not applicable,not applicable,1
49,not applicable,not applicable,1
50,alpha,alpha,1
51,not applicable,unclassified endocrine,1
52,alpha,alpha,1
53,alpha,alpha,1
54,delta,delta,1
55,alpha,alpha,1
56,alpha,alpha,1
57,not applicable,mast,1
58,ductal,ductal,1
59,alpha,alpha,1
60,not applicable,not applicable,1
61,alpha,alpha,1
62,gamma,gamma,1
63,gamma,gamma,1
64,alpha,alpha,1
65,alpha,alpha,1
66,gamma,gamma,1
67,alpha,alpha,1
68,alpha,alpha,1
69,alpha,alpha,1
70,not applicable,not applicable,1
71,alpha,alpha,1
72,ductal,ductal,1
73,alpha,alpha,1
74,not applicable,alpha,1
75,ductal,ductal,1
76,alpha,alpha,1
77,alpha,not applicable,1
78,ductal,ductal,1
79,gamma,gamma,1
80,ductal,ductal,1
81,ductal,ductal,1
82,alpha,alpha,1
83,not applicable,not applicable,1
84,ductal,ductal,1
85,beta,beta,1
86,delta,delta,1
87,not applicable,not applicable,1
88,alpha,alpha,1
89,not applicable,mast,1
90,acinar,acinar,1
91,not applicable,not applicable,1
92,not applicable,not applicable,1
93,not applicable,not applicable,1
94,not applicable,not applicable,1
95,alpha,alpha,1
96,gamma,gamma,1
97,gamma,gamma,1
98,gamma,gamma,1
99,gamma,gamma,1
100,alpha,alpha,1
101,co-expression,co-expression,1
102,not applicable,not applicable,1
103,not applicable,not applicable,1
104,not applicable,not applicable,1
105,not applicable,not applicable,1
106,gamma,gamma,1
107,gamma,gamma,1
108,alpha,alpha,1
109,gamma,gamma,1
110,not applicable,not applicable,1
111,not applicable,not applicable,1
112,beta,beta,1
113,alpha,alpha,1
114,gamma,gamma,1
115,gamma,gamma,1
116,not applicable,not applicable,1
117,alpha,alpha,1
118,not applicable,not applicable,1
119,alpha,alpha,1
120,alpha,alpha,1
121,alpha,alpha,1
122,alpha,alpha,1
123,not applicable,not applicable,1
124,gamma,gamma,1
125,gamma,gamma,1
126,alpha,alpha,1
127,beta,beta,1
128,not applicable,not applicable,1
129,gamma,gamma,1
130,delta,not applicable,1
131,not applicable,not applicable,1
132,alpha,alpha,1
133,not applicable,alpha,1
134,alpha,alpha,1
135,alpha,alpha,1
136,alpha,alpha,1
137,not applicable,not applicable,1
138,not applicable,not applicable,1
139,acinar,acinar,1
140,alpha,alpha,1
141,alpha,alpha,1
142,alpha,alpha,1
143,not applicable,not applicable,1
144,delta,delta,1
145,gamma,gamma,1
146,alpha,alpha,1
147,not applicable,not applicable,1
148,alpha,alpha,1
149,not applicable,not applicable,1
150,not applicable,not applicable,1
151,alpha,alpha,1
152,alpha,alpha,1
153,gamma,gamma,1
154,alpha,alpha,1
155,beta,beta,1
156,not applicable,not applicable,1
157,alpha,alpha,1
158,alpha,alpha,1
159,alpha,alpha,1
160,not applicable,not applicable,1
161,not applicable,not applicable,1
162,alpha,alpha,1
163,alpha,alpha,1
164,alpha,alpha,1
165,not applicable,unclassified endocrine,1
166,alpha,alpha,1
167,gamma,gamma,1
168,alpha,alpha,1
169,alpha,alpha,1
170,not applicable,not applicable,1
171,not applicable,not applicable,1
172,beta,beta,1
173,gamma,gamma,1
174,alpha,alpha,1
175,not applicable,not applicable,1
176,alpha,alpha,1
177,alpha,alpha,1
178,PSC,PSC,1
179,not applicable,not applicable,1
180,delta,delta,1
181,not applicable,not applicable,1
182,not applicable,not applicable,1
183,not applicable,not applicable,1
184,alpha,alpha,1
185,alpha,alpha,1
186,not applicable,not applicable,1
187,alpha,alpha,1
188,gamma,gamma,1
189,co-expression,co-expression,1
190,not applicable,not applicable,1
191,not applicable,not applicable,1
192,alpha,alpha,1
193,delta,delta,1
194,acinar,acinar,1
195,alpha,alpha,1
196,alpha,not applicable,1
197,beta,beta,1
198,alpha,alpha,1
199,beta,beta,1
200,alpha,alpha,1
201,not applicable,not applicable,1
202,gamma,gamma,1
203,not applicable,not applicable,1
204,PSC,PSC,1
205,gamma,gamma,1
206,not applicable,not applicable,1
207,beta,beta,1
208,delta,delta,1
209,beta,beta,1
210,not applicable,not applicable,1
211,not applicable,not applicable,1
212,not applicable,not applicable,1
213,not applicable,not applicable,1
214,PSC,PSC,1
215,alpha,alpha,1
216,not applicable,not applicable,1
217,alpha,alpha,1
218,not applicable,not applicable,1
219,gamma,gamma,1
220,alpha,alpha,1
221,alpha,alpha,1
222,gamma,gamma,1
223,not applicable,not applicable,1
224,alpha,alpha,1
225,not applicable,not applicable,1
226,gamma,gamma,1
227,alpha,alpha,1
228,alpha,alpha,1
229,beta,beta,1
230,not applicable,not applicable,1
231,not applicable,not applicable,1
232,not applicable,not applicable,1
233,not applicable,not applicable,1
234,PSC,PSC,1
235,ductal,ductal,1
236,gamma,gamma,1
237,acinar,acinar,1
238,acinar,acinar,1
239,not applicable,not applicable,1
240,not applicable,not applicable,1
241,ductal,ductal,1
242,not applicable,unclassified endocrine,1
243,beta,beta,1
244,ductal,ductal,1
245,not applicable,not applicable,1
246,not applicable,not applicable,1
247,ductal,ductal,1
248,acinar,not applicable,1
249,delta,delta,1
250,acinar,acinar,1
251,gamma,not applicable,1
252,not applicable,unclassified endocrine,1
253,not applicable,not applicable,1
254,not applicable,not applicable,1
255,alpha,alpha,1
256,gamma,not applicable,1
257,ductal,ductal,1
258,beta,beta,1
259,alpha,alpha,1
260,ductal,ductal,1
261,ductal,ductal,1
262,ductal,ductal,1
263,alpha,alpha,1
264,beta,beta,1
265,acinar,acinar,1
266,alpha,alpha,1
267,acinar,acinar,1
268,gamma,gamma,1
269,acinar,acinar,1
270,not applicable,not applicable,1
271,not applicable,not applicable,1
272,acinar,acinar,1
273,not applicable,not applicable,1
274,not applicable,not applicable,1
275,acinar,acinar,1
276,ductal,ductal,1
277,not applicable,unclassified endocrine,1
278,ductal,ductal,1
279,acinar,acinar,1
280,not applicable,not applicable,1
281,ductal,ductal,1
282,gamma,gamma,1
283,acinar,acinar,1
284,alpha,alpha,1
285,not applicable,not applicable,1
286,not applicable,not applicable,1
287,not applicable,not applicable,1
288,ductal,ductal,1
289,not applicable,not applicable,1
290,gamma,not applicable,1
291,not applicable,not applicable,1
292,not applicable,not applicable,1
293,beta,beta,1
294,not applicable,not applicable,1
295,not applicable,not applicable,1
296,acinar,acinar,1
297,acinar,acinar,1
298,beta,beta,1
299,not applicable,not applicable,1
300,not applicable,not applicable,1
301,ductal,ductal,1
302,not applicable,not applicable,1
303,acinar,acinar,1
304,acinar,acinar,1
305,ductal,ductal,1
306,ductal,ductal,1
307,acinar,acinar,1
308,beta,beta,1
309,not applicable,not applicable,1
310,not applicable,not applicable,1
311,ductal,ductal,1
312,not applicable,not applicable,1
313,not applicable,not applicable,1
314,alpha,not applicable,1
315,alpha,not applicable,1
316,not applicable,not applicable,1
317,not applicable,not applicable,1
318,beta,beta,1
319,alpha,not applicable,1
320,alpha,alpha,1
321,alpha,alpha,1
322,alpha,alpha,1
323,not applicable,not applicable,1
324,not applicable,not applicable,1
325,alpha,not applicable,1
326,not applicable,not applicable,1
327,alpha,alpha,1
328,not applicable,not applicable,1
329,alpha,alpha,1
330,beta,beta,1
331,not applicable,not applicable,1
332,not applicable,not applicable,1
333,not applicable,not applicable,1
334,alpha,alpha,1
335,delta,delta,1
336,beta,beta,1
337,not applicable,not applicable,1
338,alpha,alpha,1
339,alpha,alpha,1
340,alpha,alpha,1
341,alpha,alpha,1
342,alpha,alpha,1
343,gamma,not applicable,1
